	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	total	suburban	domestic	HMT	fdi_b	domestic_b	HMT_b	fdi_b
								
L.lso2_c		0.646***				0.652***	0.648***	0.649***
		(0.0516)				(0.0512)	(0.0515)	(0.0514)
ldomestic_c		0.0276				0.00262		
		(0.0350)				(0.0355)		
lHMT_c		-0.0124					-0.0199*	
		(0.0143)					(0.0115)	
lfdi_c		-0.0196						-0.0230
		(0.0179)						(0.0143)
lgov_c		0.115*				0.114	0.121*	0.118*
		(0.0681)				(0.0697)	(0.0680)	(0.0695)
lfine	-0.297***	0.0704***	-0.295**	-0.270**	-0.259**	0.0580**	0.0696***	0.0790***
	(0.102)	(0.0272)	(0.118)	(0.116)	(0.114)	(0.0266)	(0.0201)	(0.0241)
lpopu_c		-0.0888*				-0.0998*	-0.0825*	-0.0821*
		(0.0520)				(0.0521)	(0.0480)	(0.0480)
lsecgrp_c		-10.85***				-10.62***	-11.25***	-11.45***
		(3.682)				(3.651)	(3.593)	(3.572)
lland_c		0.165***				0.167***	0.166***	0.166***
		(0.0320)				(0.0325)	(0.0321)	(0.0320)
llaborinsec_c		0.276***				0.271***	0.295***	0.281***
		(0.0732)				(0.0709)	(0.0722)	(0.0694)
ldelivery_c		0.0282				0.0341*	0.0324*	0.0310*
		(0.0175)				(0.0183)	(0.0177)	(0.0178)
lwage_c		-0.0463				-0.0852	-0.0752	-0.0570
		(0.0806)				(0.0804)	(0.0788)	(0.0814)
o.lfine		-						
								
o.year1	-	-	-	-	-		-	-
								
o.year8	-	-	-	-	-	-	-	-
								
L.lso2_b	-0.107***		-0.106***	-0.108***	-0.108***			
	(0.0340)		(0.0377)	(0.0384)	(0.0385)			
ldomestic_b	0.112		0.115					
	(0.148)		(0.207)					
lHMT_b	0.0257			0.0296				
	(0.0449)			(0.0445)				
lland_b	0.898***		0.900***	0.898***	0.900***			
	(0.0520)		(0.0849)	(0.0850)	(0.0851)			
lfdi_b	-0.0275				-0.0142			
	(0.0597)				(0.0622)			
lgov_b	-0.555		-0.559	-0.545	-0.534			
	(0.406)		(0.419)	(0.425)	(0.421)			
llaborinsec_b	-0.102		-0.0993	-0.0864	-0.0614			
	(0.198)		(0.227)	(0.219)	(0.213)			
lpopu_b	-0.0742		-0.0801	-0.0202	-0.0126			
	(0.283)		(0.328)	(0.317)	(0.318)			
lsecgrp_b	-0.0227		-0.0188	0.000401	0.0134			
	(0.167)		(0.159)	(0.169)	(0.171)			
ldelivery_b	-0.0276		-0.0293	-0.0240	-0.0235			
	(0.0506)		(0.0440)	(0.0433)	(0.0433)			
lwage_b	0.446		0.463	0.486	0.513			
	(0.350)		(0.396)	(0.371)	(0.368)			
o.lland_b					-			
								
Constant	1.812	-1.881**	1.650	2.175	2.138	-1.415	-1.471*	-1.596*
	(4.739)	(0.894)	(4.782)	(4.754)	(4.711)	(0.910)	(0.857)	(0.868)
								
Observations	780	780	780	780	780	780	780	780
R-squared	0.432		0.431	0.431	0.431			
Number of id	223	223	223	223	223	223	223	223
N	780	780	780	780	780	780	780	780
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
