	(1)	(2)	(3)
VARIABLES	SYS-GMM2.1	SYS-GMM2.2	SYS-GMM2.3
			
L.fdi_b	0.776***		
	(0.031)		
lso2	2800526.911**	-1287754.947*	3411863.287***
	(1250310.449)	(743,835.356)	(920,189.826)
L.lso2	-301,588.090	565,204.085	-96,375.218
	(931,358.564)	(395,894.297)	(1021476.008)
gov_b	-0.130***	-0.107***	0.330***
	(0.032)	(0.029)	(0.088)
L.gov_b	0.310***	0.111***	-0.224*
	(0.088)	(0.042)	(0.134)
secgrp_b	-5,181.752	-34,955.430**	-55,392.620
	(30,436.387)	(14,327.540)	(74,747.569)
pgrp_b	7.188	1.287	7.424
	(5.105)	(1.370)	(5.728)
wage_b	-0.272***	0.204***	-0.296***
	(0.033)	(0.055)	(0.056)
laborinsec_b	127,320.366***	69,288.874***	235,562.435***
	(45,385.109)	(25,829.905)	(73,290.814)
delivery	92.414**	49.996*	102.189***
	(46.903)	(28.523)	(35.444)
density_b	19,227.440**	9,682.791	10,874.776
	(9,720.030)	(7,524.033)	(15,992.457)
laborval	-495,313.309***	-94,912.072**	-494,553.080***
	(165,591.505)	(46,238.398)	(157,957.142)
L.HMT_b		0.547***	
		(0.065)	
L.domestic_b			0.922***
			(0.088)
Constant	0.000	0.000	-4.212e+07***
	(0.000)	(0.000)	(15360123.019)
			
Number of id	257	249	261
ar1	-3.143	-3.591	-3.992
ar1p	0.00167	0.000329	6.56e-05
ar2	-0.533	-0.391	-1.143
ar2p	0.594	0.696	0.253
sargan	1174	893.5	826.8
sarganp	0	0	0
hansen	225.8	229.0	247.7
hansenp	0.246	0.201	0.404
N	1408	1373	1441
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
