	(1)	(2)	(3)	(4)
VARIABLES	SYS-GMM2.1	SYS-GMM2.2	SYS-GMM2.3	SYS-GMM2.4
				
L.fdi_b	0.783***			
	(0.028)			
lso2	2365527.461**	-1081229.465*	3073433.748***	1,686.156
	(1093733.167)	(596,228.076)	(830,334.698)	(3,128.083)
L.lso2	-883,619.511	372,112.743	-762,641.782	-3,306.268
	(977,752.833)	(344,367.823)	(882,571.206)	(3,517.262)
gov_b	-0.083***	-0.170***	0.255***	0.001*
	(0.022)	(0.021)	(0.061)	(0.000)
L.gov_b	0.286***	0.133***	0.023	0.000*
	(0.051)	(0.026)	(0.077)	(0.000)
secgrp_b	6,270.821	-40,874.136***	-24,812.638	-154.727
	(34,593.851)	(13,396.001)	(71,312.813)	(278.836)
pgrp_b	5.545	0.282	6.633	0.007*
	(3.637)	(0.551)	(4.638)	(0.004)
wage_b	-0.244***	0.250***	-0.299***	0.000
	(0.034)	(0.052)	(0.057)	(0.000)
laborinsec_b	7,783.278	39,012.847***	74,551.928*	-253.220**
	(21,597.942)	(10,253.072)	(41,370.451)	(115.524)
delivery	63.735*	13.022	118.724***	0.173
	(34.628)	(9.956)	(45.498)	(0.131)
density_b	5,091.626	-2,712.580	19,814.712	-102.170
	(6,600.843)	(4,482.826)	(12,704.465)	(172.720)
laborval	-474,063.658***	-26,929.415	-618,652.264***	60.830
	(169,073.492)	(39,966.527)	(183,780.620)	(482.308)
L.HMT_b		0.573***		
		(0.077)		
L.domestic_b			0.868***	
			(0.097)	
L.rfdi_b				1.033***
				(0.050)
L2.lso2				2,205.967
				(2,286.815)
L2.gov_b				0.000***
				(0.000)
Constant	-1.181e+07**	8386986.104**	-2.256e+07**	0.000
	(5229989.703)	(4146634.361)	(9578417.211)	(0.000)
				
Number of id	257	249	261	243
ar1	-3.447	-3.668	-3.319	-1.442
ar1p	0.000567	0.000244	0.000902	0.149
ar2	-0.348	-0.883	-1.601	-0.130
ar2p	0.728	0.377	0.109	0.896
sargan	1170	929.4	926.2	812.5
sarganp	0	0	0	0
hansen	243.2	230.2	254.8	205.5
hansenp	0.107	0.256	0.457	0.457
N	1408	1373	1441	1121
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
