	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	Random effect1.1	Random effect1.2	Random effect1.3	Random effect1.1	Random effect1.2	Random effect1.3	Random effect1.4	Random effect1.1	Random effect1.2	Random effect1.3	Random effect1.4
											
L.fdi_a	0.701***			0.740***				0.740***			
	(0.0316)			(0.0335)				(0.0335)			
lso2	1.175e+06	-720,126	2.817e+06**	1.538e+06*	-598,739	3.501e+06***	7,356**	1.538e+06*	-598,739	3.501e+06***	7,356**
	(792,098)	(594,534)	(1.130e+06)	(881,267)	(484,069)	(1.063e+06)	(3,230)	(881,267)	(484,069)	(1.063e+06)	(3,230)
L.lso2	-1.834e+06*	344,037	-1.748e+06	-869,084	343,836	-1.768e+06	-1,045	-869,084	343,836	-1.768e+06	-1,045
	(962,628)	(422,587)	(1.184e+06)	(668,262)	(415,990)	(1.110e+06)	(3,547)	(668,262)	(415,990)	(1.110e+06)	(3,547)
L2.lso2	1.508e+06**	-10,801	688,856								
	(662,463)	(255,082)	(618,665)								
gov_a	205.2***	-30.95**	289.2***	208.7***	-35.40***	285.3***	0.437**	208.7***	-35.40***	285.3***	0.437**
	(68.86)	(13.48)	(66.63)	(68.19)	(13.42)	(63.14)	(0.208)	(68.19)	(13.42)	(63.14)	(0.208)
L.gov_a	-165.3**	74.99***	-161.7***	-173.7***	77.87***	-168.3***	0.258	-173.7***	77.87***	-168.3***	0.258
	(66.82)	(24.81)	(48.95)	(63.65)	(24.89)	(48.19)	(0.347)	(63.65)	(24.89)	(48.19)	(0.347)
L2.gov_a	1,396***	-131.4	1,522**								
	(534.0)	(163.8)	(731.7)								
secgrp_a	-59,767	-36,130***	-108,670	-50,524	-32,422***	-135,043**	-236.8	-50,524	-32,422***	-135,043**	-236.8
	(38,269)	(13,808)	(71,263)	(35,762)	(11,580)	(59,387)	(174.6)	(35,762)	(11,580)	(59,387)	(174.6)
pgrp_a	45.96***	8.884**	59.09***	50.21***	9.710**	59.18***	0.129**	50.21***	9.710**	59.18***	0.129**
	(15.31)	(4.377)	(17.79)	(15.07)	(4.394)	(17.46)	(0.0563)	(15.07)	(4.394)	(17.46)	(0.0563)
wage_a	-0.275***	0.240***	-0.270***	-0.279***	0.253***	-0.258***	0.000505***	-0.279***	0.253***	-0.258***	0.000505***
	(0.0418)	(0.0444)	(0.0571)	(0.0364)	(0.0462)	(0.0623)	(0.000194)	(0.0364)	(0.0462)	(0.0623)	(0.000194)
laborinsec_a	137,083***	46,698***	327,151***	94,285***	41,832***	254,536***	38.33	94,285***	41,832***	254,536***	38.33
	(32,871)	(16,139)	(52,465)	(26,470)	(14,707)	(44,012)	(157.0)	(26,470)	(14,707)	(44,012)	(157.0)
delivery	77.14*	19.23**	177.7***	62.20*	5.019	118.2***	0.0790	62.20*	5.019	118.2***	0.0790
	(40.36)	(8.713)	(62.82)	(31.75)	(4.203)	(45.78)	(0.0939)	(31.75)	(4.203)	(45.78)	(0.0939)
density_a	18,497**	5,299	31,772	17,996***	-764.1	24,681**	-103.9	17,996***	-764.1	24,681**	-103.9
	(8,106)	(7,688)	(22,963)	(6,075)	(3,414)	(10,745)	(84.39)	(6,075)	(3,414)	(10,745)	(84.39)
laborval	-417,126***	-90,961**	-277,981	-382,839***	-70,563**	-240,164	-1,390*	-382,839***	-70,563**	-240,164	-1,390*
	(147,471)	(39,433)	(212,440)	(122,702)	(34,325)	(199,612)	(810.3)	(122,702)	(34,325)	(199,612)	(810.3)
busval	-111.1*	-47.99	-43.83								
	(64.33)	(43.74)	(108.9)								
L.HMT_a		0.523***			0.544***				0.544***		
		(0.0545)			(0.0537)				(0.0537)		
L.domestic_a			0.686***			0.723***				0.723***	
			(0.0684)			(0.0627)				(0.0627)	
L.rfdi_a							0.935***				0.935***
							(0.0626)				(0.0626)
Constant	-1.380e+07***	1.946e+06	-4.013e+07***	-1.142e+07***	3.330e+06*	-2.390e+07***	-31,781	-1.142e+07***	3.330e+06*	-2.390e+07***	-31,781
	(5.348e+06)	(2.448e+06)	(8.717e+06)	(4.127e+06)	(1.872e+06)	(6.405e+06)	(22,628)	(4.127e+06)	(1.872e+06)	(6.405e+06)	(22,628)
											
Observations	1,121	1,104	1,121	1,441	1,409	1,441	1,441	1,441	1,409	1,441	1,441
Number of id	243	240	243	261	256	261	261	261	256	261	261
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
