	(1)	(2)	(3)
VARIABLES	SYS-GMM6.1	SYS-GMM6.2	SYS-GMM6.3
			
L.gov_b	0.140**	0.046	0.076
	(0.069)	(0.045)	(0.131)
fdi_b	-0.285**		
	(0.138)		
L.fdi_b	0.473**		
	(0.219)		
so2	107.619	80.957	68.348
	(75.710)	(65.219)	(49.064)
L.so2	-72.875	-45.382	-39.482
	(59.997)	(49.568)	(38.887)
pgrp_b	1.280	0.268	-2.242
	(1.230)	(0.643)	(1.735)
secgrp_b	15,780.503	-35,485.766	-4,691.140
	(18,763.024)	(29,973.667)	(28,030.749)
wage_b	-0.007	0.233	0.205**
	(0.045)	(0.147)	(0.089)
laborinsec_b	-56,234.411	-20,188.386	-56,459.221
	(48,279.072)	(26,971.473)	(48,617.237)
delivery	-48.906	-42.397	-80.224
	(44.482)	(35.572)	(65.171)
density_b	24,889.758*	25,630.883	13,965.919
	(13,744.140)	(15,682.024)	(9,320.811)
laborval	-131,350.706	-148,949.748	93,041.174
	(113,036.375)	(124,964.310)	(91,852.262)
HMT_b		-0.507	
		(0.337)	
L.HMT_b		0.327	
		(0.201)	
domestic_b			0.263**
			(0.131)
L.domestic_b			-0.278*
			(0.148)
Constant	621,384.860	-1881708.431	1084067.625
	(2642095.434)	(2592925.362)	(1993241.415)
			
Number of id	257	249	261
ar1	-1.789	-1.654	-1.743
ar1p	0.0737	0.0982	0.0814
ar2	-0.202	-1.264	0.232
ar2p	0.840	0.206	0.817
sargan	719.0	767.9	1154
sarganp	0	0	0
hansen	186.0	192.1	227.7
hansenp	0.175	0.107	0.104
N	1408	1373	1441
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
