	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	total_a	total_b	lso2_a	lso2_a	lso2_a	lso2_b	lso2_b	lso2_b	lso2_b
									
lfine	-0.318**	-0.177***	-0.474**	0.293	-0.371**	0.323**	-0.009	-0.175*	0.290***
	(0.154)	(0.068)	(0.196)	(0.278)	(0.176)	(0.161)	(0.127)	(0.101)	(0.087)
llaborinsec_b	1.017***		0.793**	1.099	1.355**				
	(0.370)		(0.338)	(0.797)	(0.551)				
lpopu_b	0.079		1.156*	-0.186	0.325				
	(0.377)		(0.655)	(1.026)	(0.601)				
lsecgrp_b	-0.461***		-0.431	-0.012	-0.504**				
	(0.167)		(0.264)	(0.353)	(0.241)				
ldelivery_b	-0.057		-0.016	-0.053	-0.045				
	(0.038)		(0.039)	(0.116)	(0.041)				
lwage_b	-0.312		-0.525	-1.180	-1.090				
	(0.288)		(0.510)	(1.672)	(0.685)				
ldomestic_b	0.291*		0.179						
	(0.163)		(0.197)						
lHMT_b	0.019			-0.048					
	(0.054)			(0.249)					
lland_b	1.165***		1.095***	1.472***	1.385***				
	(0.082)		(0.114)	(0.273)	(0.150)				
lfdi_b	-0.157***				0.045				
	(0.040)				(0.091)				
lgov_b	-0.541***		-0.488***	-0.513**	-0.541***				
	(0.067)		(0.117)	(0.252)	(0.123)				
lpopu_c		0.528				1.012	-0.278	-0.436	1.127
		(0.470)				(1.104)	(1.000)	(0.640)	(0.906)
lland_c		0.105*				0.138	0.026	-0.019	0.055
		(0.056)				(0.108)	(0.118)	(0.094)	(0.101)
lsecgrp_c		-1.767				-11.796	-6.007	-3.203	-11.349**
		(4.069)				(9.144)	(8.337)	(6.007)	(4.465)
llaborinsec_c		0.357**				0.033	-0.011	0.100*	0.731***
		(0.172)				(0.348)	(0.198)	(0.052)	(0.244)
ldelivery_c		0.013*				-0.004	0.001	0.005	-0.011
		(0.007)				(0.011)	(0.005)	(0.009)	(0.016)
lwage_c		-0.844***				-0.046	-0.268	-0.730**	-0.862**
		(0.222)				(0.382)	(0.264)	(0.307)	(0.365)
ldomestic_c		0.140				-0.174			-0.313**
		(0.113)				(0.199)			(0.146)
lHMT_c		0.009					0.037**		
		(0.012)					(0.015)		
lfdi_c		-0.035						0.112***	
		(0.025)						(0.035)	
lgov_c		-0.321***				-0.337***	-0.359***	-0.284***	-0.249***
		(0.023)				(0.064)	(0.030)	(0.041)	(0.048)
Constant	0.845	13.148***	-0.364	6.732	7.212	5.631	14.668**	19.943***	13.591**
	(4.003)	(3.855)	(6.893)	(16.479)	(6.845)	(8.816)	(7.405)	(5.000)	(6.711)
									
Number of id	239	239	239	239	239	239	239	239	239
arm1	-6.045	-4.069	-5.977	-5.016	-5.775	-4.168	-4.199	-4.354	-4.213
arm2	-0.640	-1.514	-0.777	0.412	0.0394	-1.244	-0.758	-0.665	-1.144
artests	2	2	2	2	2	2	2	2	2
sargan	48.10	61.91	43.77	14.76	37.61	17.36	38.86	54.44	34.97
sarganp	.	.	.	.	.	.	.	.	.
N	1239	1239	1239	1239	1239	1239	1239	1239	1239
N_g	239	239	239	239	239	239	239	239	239
Standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
