	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	total	total	lso2_b	lpso2_b	lpso2_b	lso2_b	lso2_b	lso2_c
								
L.lso2_b	-0.112***		-0.135***	-0.115**	-0.165***			
	(0.0424)		(0.0429)	(0.0452)	(0.0414)			
ldomestic_b	0.127		0.0911					
	(0.111)		(0.143)					
lHMT_b	0.0480			0.0293				
	(0.0600)			(0.0754)				
lland_b	0.896***		0.770***	0.807***	0.787***			
	(0.0962)		(0.0704)	(0.0797)	(0.0570)			
lfdi_b	-0.0781				-0.0192			
	(0.0581)				(0.0568)			
lgov_b	1.218**		0.566	1.603***	1.090*			
	(0.494)		(0.515)	(0.478)	(0.615)			
lfine	0.0297	-0.0433	-0.192*	-0.107	-0.157*	0.186***	0.242***	0.112*
	(0.106)	(0.0621)	(0.0983)	(0.0844)	(0.0909)	(0.0638)	(0.0504)	(0.0605)
llaborinsec_b	0.743***		0.596**	0.798***	0.740***			
	(0.239)		(0.255)	(0.215)	(0.251)			
lpopu_b	-0.381		0.286	-0.370	0.0495			
	(0.242)		(0.369)	(0.328)	(0.384)			
lsecgrp_b	0.289**		0.00596	0.0541	0.0476			
	(0.144)		(0.142)	(0.140)	(0.147)			
ldelivery_b	0.0538**		0.0654***	0.0530***	0.0504**			
	(0.0215)		(0.0235)	(0.0170)	(0.0216)			
lwage_b	-0.111		0.496	0.199	0.556			
	(0.310)		(0.344)	(0.350)	(0.353)			
seaside	1.396***	0.678***	2.411***	2.054***	1.996***	1.075***	0.660***	0.481***
	(0.476)	(0.139)	(0.682)	(0.701)	(0.659)	(0.330)	(0.118)	(0.0965)
vice	-1.792**	-0.483	-1.731**	-2.514***	-2.084***	-0.442	-0.859***	-0.977***
	(0.707)	(0.377)	(0.804)	(0.859)	(0.626)	(0.347)	(0.302)	(0.291)
L.lso2_c		0.134***				0.158***	0.140***	0.174***
		(0.0319)				(0.0306)	(0.0289)	(0.0292)
ldomestic_c		0.169				0.193		
		(0.129)				(0.145)		
lHMT_c		0.0170					0.0617***	
		(0.0314)					(0.0223)	
lfdi_c		0.171***						0.247***
		(0.0506)						(0.0429)
lland_c		0.266***				0.273***	0.218***	0.253***
		(0.0426)				(0.0481)	(0.0486)	(0.0445)
lgov_c		0.931***				0.790***	1.115***	0.227
		(0.320)				(0.232)	(0.384)	(0.297)
lpopu_c		-0.882***				-0.782***	-0.771***	-0.336**
		(0.212)				(0.186)	(0.219)	(0.157)
lsecgrp_c		-12.17***				-16.34***	-20.05***	-17.48***
		(3.306)				(3.744)	(3.533)	(3.396)
llaborinsec_c		-0.0458				-0.0122	0.131	0.0739
		(0.136)				(0.0995)	(0.135)	(0.119)
ldelivery_c		-0.000930				0.00434	0.00919	-0.000159
		(0.0101)				(0.0106)	(0.0133)	(0.0112)
lwage_c		-0.538**				-0.547**	-0.138	-0.157
		(0.225)				(0.245)	(0.245)	(0.204)
Constant	-1.358	11.89***	-12.17***	-1.765	-5.216	2.744	9.410***	6.200**
	(3.586)	(2.764)	(4.454)	(4.117)	(4.323)	(3.057)	(2.885)	(2.509)
								
Observations	780	780	780	780	780	780	780	780
Number of id	223	223	223	223	223	223	223	223
N	780	780	780	780	780	780	780	780
N_g	223	223	223	223	223	223	223	223
arm2	-0.387	-1.229	-1.188	-0.0973	-1.592	-0.537	-0.562	-1.962
artest	.	.	.	.	.	.	.	.
sargan	60.06	53.63	51.07	53.26	49.80	53.00	48.19	53.15
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
